,lr,batch_size,n_epochs,seq_len,hidden_size,beta1,beta2,Training Loss for Epoch 1,Training Loss for Epoch 2,Training Loss for Epoch 3,Training Loss for Epoch 4,Training Loss for Epoch 5,Training Loss for Epoch 6,Training Loss for Epoch 7,Training Loss for Epoch 8,Training Loss for Epoch 9,Training Loss for Epoch 10,Validation Loss for Epoch 1,Validation Loss for Epoch 2,Validation Loss for Epoch 3,Validation Loss for Epoch 4,Validation Loss for Epoch 5,Validation Loss for Epoch 6,Validation Loss for Epoch 7,Validation Loss for Epoch 8,Validation Loss for Epoch 9,Validation Loss for Epoch 10
0,0.1,100,10,10,1,0.9,0.999,2.5876126501150427,2.0579241547267886,2.1536467307247222,10219.408901093528,19.501030081510542,16.617412911653517,15.070555715560912,13.861453897953034,12.732987741231918,11.458717308044434,4.9030351638793945,4.847014427185059,4.676198482513428,25.302440643310547,20.45370864868164,18.496747970581055,17.156755447387695,15.99110221862793,14.82776165008545,13.427094459533691
1,0.1,100,10,10,1,0.99,0.99,2.2237231745012105,2.1326870108023286,2.0832214910537004,2.106272274618968,2.2399500414542852,2.113351900232956,2.0858742257766427,2.0416085778549315,2.0748852274473757,2.109617419494316,4.6055121421813965,4.554327964782715,4.710011005401611,4.777333736419678,4.570455551147461,4.483719825744629,4.58589506149292,4.705912113189697,4.488032817840576,4.578717231750488
2,0.05,100,10,10,1,0.9,0.999,2.0497474204935133,2.0030184961203488,2.0089514784608036,1.9889388211909682,1.9941234131809324,1.9984991517197341,2.001408221600577,2.0025180721562355,2.0007517822179945,2.002317417738959,4.723735332489014,4.731505393981934,4.579793453216553,4.4914326667785645,4.657329082489014,4.643092632293701,4.527827739715576,4.791262626647949,4.60074520111084,4.5404133796691895
3,0.05,100,10,10,1,0.99,0.99,2.0151143670640885,2.02979471587576,2.0476726226694884,1.946261908337474,1.9610713002085687,1.9547225059755147,1.9550341941602527,1.9387959070131182,1.978105077566579,1.9780266772862525,4.514193534851074,4.686976432800293,4.519471168518066,4.447755336761475,4.607722282409668,4.507874011993408,4.517930507659912,4.44179105758667,4.446202278137207,4.475657939910889
4,0.01,100,10,10,1,0.9,0.999,1.9982170957699419,1.9038685861695557,1.9013930616062134,1.9015422665979713,1.9035119275748729,1.9024285642057657,1.9016383537370711,1.9042593308724463,1.9016089526750148,1.9021102573350073,4.459987640380859,4.457172870635986,4.477275848388672,4.459054946899414,4.456597805023193,4.4577717781066895,4.474821090698242,4.464624881744385,4.463272571563721,4.462450981140137
5,0.01,100,10,10,1,0.99,0.99,2.082249458227307,1.908847263455391,1.9097254824824632,1.906901797009632,1.909470830699429,1.9116104542464019,1.9130944620911032,1.908281640969217,1.9094590427912772,1.9097418040502816,4.470020294189453,4.473665714263916,4.470874309539795,4.478485584259033,4.468700885772705,4.469365119934082,4.459196090698242,4.462522506713867,4.492083549499512,4.472503185272217
6,0.1,100,10,20,1,0.9,0.999,6.160122430920601,2.6186215027794244,2.518854645341635,2.466454896070063,2.405552233345807,2.340787156801671,1.905411444376223,1.8205068623367697,435888730179986.56,131114368341.44,5.375160217285156,5.107166767120361,5.053555488586426,4.9988250732421875,4.9303812980651855,4.83575963973999,4.309035778045654,5.212856292724609,170348118016.0,123155808256.0
7,0.1,100,10,20,1,0.99,0.99,55.96073008850217,6.251564287729561,2.474638351481408,2.6836332058534027,2.754671989362687,2.961115681733936,2.7797910790145397,2.6531240294128655,2.4854788349941375,2.752107584308833,5.853170871734619,5.088705062866211,5.158361434936523,5.44944953918457,5.222424507141113,5.4002227783203125,5.5480570793151855,5.142144680023193,5.2178778648376465,5.098089218139648
8,0.05,100,10,20,1,0.9,0.999,38.4577800353989,3.1543301240354777,3.04435930788517,2.9456458273530006,2.85757133834064,2.77523946788162,2.665454867258668,2.536084530390799,2.4722622091695667,2.421504987888038,5.779212951660156,5.662721633911133,5.557601451873779,5.463902473449707,5.380425930023193,5.293783187866211,5.153008460998535,5.060122966766357,5.007819175720215,4.953370571136475
9,0.05,100,10,20,1,0.99,0.99,2.298663645358756,2.2978751087747513,2.1153586839791387,2.331594764571637,2.444401217568666,2.1760415091039613,2.2493671021610497,2.1742682921653613,2.2193465837463737,2.3725804713368417,4.872462749481201,4.664701461791992,4.798847675323486,5.103910446166992,5.022556781768799,5.032583236694336,4.783266544342041,4.433191776275635,4.368814468383789,4.63161039352417
10,0.01,100,10,20,1,0.9,0.999,1.910510505088605,1.7770372121036053,1.7834246475808322,1.773974013160914,1.7784432470751925,1.7725806197687053,1.7674636568222195,1.7734586362633855,1.7653291064873338,1.7625570014677943,4.348823547363281,4.391711235046387,4.3218817710876465,4.350306510925293,4.306079387664795,4.375801086425781,4.355945587158203,4.377242088317871,4.371033668518066,4.377292156219482
11,0.01,100,10,20,1,0.99,0.99,2.000459062191658,1.7539444241253659,1.7387083379458637,1.7763105781003832,1.7569426902290433,1.7691255832836033,1.7550845374306663,1.7678583515435458,1.7429805840412156,1.7892439491162078,4.27374792098999,4.321197986602783,4.278860569000244,4.2862162590026855,4.267955780029297,4.319996356964111,4.260237693786621,4.300057888031006,4.280764579772949,4.4099578857421875
