,A,B,C,Y
0,2.3149807,-1.0737695,-4.2721114,0.23191758
1,0.48777688,-3.1673355,3.3949142,3.2467053
2,3.3890672,-3.9476285,-2.8634405,0.58240634
3,1.107001,4.877287,-1.4207258,-2.202928
4,3.9735148,-2.9415674,4.176014,0.37014675
5,3.5292778,-4.1074247,-2.856838,0.5819072
6,3.012364,-4.6257043,1.8279388,0.76778644
7,2.8386848,-2.8548367,0.8407901,0.5028449
8,1.083104,2.2837234,-0.7329025,-1.0542493
9,2.8302243,4.017585,3.8375304,-0.7097644
10,1.099757,3.097624,3.462438,-1.4083221
11,2.3268723,2.0242476,-0.97958136,-0.4349718
12,2.717459,3.4879115,-1.8081241,-0.64175975
13,1.0900637,0.43903574,1.883743,-0.20138077
14,2.3254843,-4.1965246,0.18773398,0.9022905
15,3.9269156,-0.91965747,2.0548894,0.11709666
16,0.85249597,4.777566,4.3407598,-2.8021047
17,1.1162515,4.768298,-2.7503564,-2.1358528
18,4.668814,-1.9796491,0.7519808,0.21200769
19,0.4860348,2.5083282,-1.072346,-2.5803998
20,1.9126722,1.2907132,0.5831257,-0.337411
21,3.0594604,0.27518824,2.2586086,-0.04497333
22,0.106580235,2.7730532,4.5522823,-13.009227
23,4.5326676,-4.5476985,1.3956239,0.501658
24,1.7701488,1.7121059,-2.4404275,-0.48360506
25,1.27333,3.2162323,3.2372708,-1.2629218
26,4.4882393,3.1275623,-2.7351885,-0.3484175
27,3.5589669,0.9726076,-3.5247185,-0.13664185
28,3.9824512,1.3219173,2.1293166,-0.16596779
29,2.2806466,4.7966065,-1.8863848,-1.0515893
30,3.0233297,-0.054164357,2.60431,0.0089577325
31,2.4160361,-0.86434746,0.28069186,0.17887717
32,1.6044523,-3.2447207,3.4407578,1.0111616
33,0.3995999,-4.9206667,3.000038,6.1569915
34,0.07855705,1.2745494,1.6116033,-8.112253
35,2.5408514,-4.2312393,-3.0282054,0.832642
36,4.97957,0.9969136,-0.17963031,-0.100100376
37,4.931541,4.2412615,-4.642761,-0.4300138
38,2.6813068,-3.2880137,-2.025208,0.6131364
39,1.3331076,-0.24442385,-3.340819,0.09167446
40,0.2629151,2.007226,-1.9252528,-3.8172512
41,4.905213,1.4348439,3.584765,-0.14625706
42,0.5557689,-1.6681739,-2.3202875,1.5007801
43,1.5626861,-3.5787892,3.8009174,1.1450762
44,3.55597,-1.5166179,-4.9995446,0.21324953
45,3.1980336,2.1136513,-3.303105,-0.33046106
46,4.665435,-1.0209779,-0.15506543,0.10941937
47,1.6186032,-3.8397074,-3.6672513,1.1861175
48,0.29251245,-1.3390715,-3.646395,2.2889137
49,1.2410375,-4.9002023,-2.8123426,1.9742361
50,0.237153,-2.4514306,-3.6557353,5.168458
51,4.670854,-3.7299688,4.8086286,0.39928123
52,0.5449105,1.1669736,3.6850631,-1.0707939
53,2.0954845,-2.9546516,-1.284178,0.70500433
54,2.872142,3.317597,4.277572,-0.5775475
55,2.4393582,4.7273097,-0.37025592,-0.9689659
56,2.8081818,2.772364,0.6245872,-0.49362257
57,4.01038,1.4501219,-3.2930062,-0.18079607
58,1.6693805,-3.5735216,1.4894756,1.0703137
59,1.5817437,4.8033643,-0.1432716,-1.5183762
60,3.8308635,2.938126,4.274925,-0.38348094
61,3.1702747,3.8712378,4.6880593,-0.61055243
62,4.6816206,4.074406,-1.5922116,-0.43514913
63,3.170503,3.9276412,2.634047,-0.6194035
64,1.9881454,-2.0772712,2.6951072,0.5224143
65,1.9435518,2.207059,3.6839173,-0.5677901
66,4.276342,-4.587417,3.440536,0.53637165
67,4.7577095,1.6799453,2.8741105,-0.17654979
68,0.7216772,3.1228147,-3.7303436,-2.1635814
69,3.1819875,0.30021846,-1.2329339,-0.047174677
70,4.0767865,-2.6546304,-1.3065832,0.3255788
71,3.5427,-4.1174765,0.4904098,0.5811212
72,0.38469154,4.0220585,-1.1563071,-5.227641
73,4.454352,0.83525,-3.7206426,-0.09375663
74,2.5783257,-1.2072805,-4.406007,0.23412102
75,4.004122,3.900962,-4.477664,-0.4871183
76,3.7801135,-0.7947829,0.07899581,0.10512686
77,0.111479186,-2.9347768,3.073766,13.162891
78,1.8085864,3.8668275,1.6483374,-1.0690193
79,0.3109478,-4.3495355,2.88923,6.9939957
80,0.39797848,0.7286577,-4.0628815,-0.9154486
81,2.7445645,0.6706173,-0.97128063,-0.122171886
82,0.7399374,0.48885557,1.7114118,-0.33033577
83,0.34045693,-4.7407784,3.866041,6.962376
84,1.1026998,1.7528448,0.2846345,-0.79479694
85,4.155368,0.65630776,-2.1341474,-0.07897108
86,0.25119212,-1.9212265,4.7245955,3.8242173
87,3.6588192,2.5489733,4.2886777,-0.3483328
88,2.6940396,-2.395945,1.0581167,0.44467518
89,1.152639,-1.8216983,2.1816125,0.7902293
90,2.6114023,1.2025375,4.675694,-0.23024745
91,3.223799,0.4899031,3.6328084,-0.075982265
92,0.33178177,0.7015484,-3.3753264,-1.0572437
93,2.7194552,4.3455625,-3.9584804,-0.79897666
94,2.793887,3.1165109,-2.0709445,-0.55773747
95,2.736971,-0.5501639,1.8943205,0.100505985
96,0.6718643,1.4842082,-3.7525177,-1.1045446
97,1.1402082,-2.8373568,-2.7908974,1.2442274
98,2.079761,-4.7716794,1.8156523,1.1471701
99,4.398675,-3.2375247,1.8338544,0.36801133
100,2.1999996,-3.2635584,0.5870554,0.741718
101,4.8122673,-0.6383994,4.643224,0.066330425
102,4.182041,1.64191,0.7104104,-0.19630484
103,1.7621977,4.0826,2.2122653,-1.1583831
104,3.823711,0.33873257,3.3197937,-0.044293694
105,0.7822551,0.14370382,-4.591404,-0.09185227
106,4.1805153,-3.3919837,2.042894,0.4056897
107,0.816901,-2.6583662,3.368014,1.627104
108,2.6539307,-3.3552814,-4.204747,0.6321343
109,2.07632,2.9116728,3.876117,-0.70116186
110,3.8811874,-0.66136885,3.4212556,0.08520187
111,2.427091,2.984871,0.1066196,-0.61490715
112,1.2622145,-3.6056015,-2.3911636,1.428284
113,2.6967847,2.2510393,4.3003507,-0.4173561
114,1.4981496,4.5419927,2.3330963,-1.5158674
115,3.5679975,3.301928,-3.5014534,-0.46271446
116,4.9729424,3.2638655,-3.147539,-0.3281624
117,2.248712,0.18888386,-3.4180138,-0.04199823
118,4.1979547,1.2353128,-0.8436094,-0.14713271
119,4.8287826,-0.009672776,3.3092463,0.001001575
120,1.3664899,2.7967322,1.2966257,-1.023327
121,1.1008489,4.0141087,-1.6758921,-1.823188
122,3.5598397,-1.9751526,4.696834,0.27742156
123,4.5595217,0.090453096,-1.4838582,-0.009919144
124,3.9825704,3.776398,-1.8657032,-0.47411567
125,1.5867802,-3.2414594,-4.3524575,1.0213952
126,4.8733096,-1.4869822,-1.6359181,0.1525639
127,0.43092576,4.5069427,-3.293306,-5.2293725
128,1.7170389,4.297356,4.238259,-1.2513858
129,2.6455522,1.8484905,-4.247608,-0.34935814
130,2.857829,-3.4639246,3.155389,0.60604125
131,0.4806134,-3.8526642,4.7788057,4.0080695
132,2.733608,2.539483,3.730667,-0.4644929
133,2.5964415,0.27183124,-4.0712876,-0.05234689
134,4.6686945,0.2730767,2.5134537,-0.029245513
135,1.5359621,2.139244,0.5752114,-0.6963857
136,0.8655972,0.37771577,-3.9651926,-0.21818219
137,3.824199,2.6667027,-0.67360634,-0.34866163
138,2.0156598,-4.6775093,4.2653995,1.1602925
139,2.397277,1.6594646,-2.1495738,-0.3461145
140,0.09688564,2.174927,-2.289206,-11.224196
141,3.5733953,2.2913697,3.7241693,-0.3206152
142,0.2998469,1.663492,-3.3168216,-2.7739024
143,2.722071,3.4981654,0.95224434,-0.6425559
144,4.077039,-2.3442612,-4.964095,0.28749558
145,0.76487446,1.5861957,3.818319,-1.0368993
146,2.5047457,0.18735772,-3.068422,-0.037400544
147,3.9413505,-3.2212827,-3.7060096,0.40865216
148,4.1542687,0.58374125,-1.9409752,-0.070258
149,0.66112214,-0.3799063,-3.1131992,0.2873193
150,1.7156852,2.0409138,-4.140574,-0.5947809
151,1.8312794,2.8354185,-0.79224235,-0.77416325
152,3.5758812,4.670091,-4.321114,-0.6529986
153,2.4292464,-1.2066942,0.9900343,0.24836801
154,2.9294102,-4.1791816,-0.5043856,0.7133145
155,3.5290918,-1.570217,-2.4384415,0.22246757
156,0.22474678,-0.44921917,4.953547,0.9993895
157,2.5768318,4.9698415,-3.4357636,-0.9643318
158,3.5401785,2.978977,2.795962,-0.42073822
159,3.9760277,4.1981244,-4.746702,-0.5279295
160,2.1407056,-0.2983967,4.6684613,0.06969588
161,1.6912023,0.88869154,3.2466981,-0.26273957
162,4.0648675,-3.026422,2.4079528,0.37226576
163,3.3553796,-3.4498506,-1.6477871,0.51407754
164,0.56520313,3.2898998,-3.1687894,-2.9103694
165,1.7128108,1.0288076,3.2447412,-0.30032727
166,2.1354744,-4.667894,-1.420342,1.0929407
167,1.9141454,-3.7673838,-2.444684,0.9840903
168,1.054899,2.6761985,-3.2445595,-1.268462
169,3.026351,2.568186,0.5785011,-0.42430407
170,4.5642033,-1.8858919,-0.06538967,0.20659597
171,4.523478,-4.3159347,4.8620896,0.47705927
172,3.8980746,-1.2190189,0.6448769,0.15636168
